config,total TP,total FP,(total FP * -1)
config_DroidSafe_apicalldepth0.xml,0,0,0
config_DroidSafe_ptageo.xml,0,0,0
config_DroidSafe_ptapaddle.xml,0,0,0
config_DroidSafe_analyzestringsunfiltered.xml,0,10,-10
config_DroidSafe_kobjsens18.xml,1,0,0
config_DroidSafe_kobjsens6.xml,1,0,0
config_DroidSafe_kobjsens5.xml,1,10,-10
config_DroidSafe_apicalldepth1.xml,4,5,-5
config_DroidSafe_kobjsens4.xml,4,10,-10
config_DroidSafe_nofallback.xml,8,42,-42
config_DroidSafe_nova.xml,9,41,-41
config_DroidSafe_preciseinfoflow.xml,10,22,-22
config_DroidSafe_ignorenocontextflow.xml,10,29,-29
config_DroidSafe_apicalldepth100.xml,10,30,-30
config_DroidSafe_apicalldepth110.xml,10,30,-30
config_DroidSafe_apicalldepth120.xml,10,30,-30
config_DroidSafe_apicalldepth150.xml,10,30,-30
config_DroidSafe_apicalldepth200.xml,10,30,-30
config_DroidSafe_apicalldepth50.xml,10,30,-30
config_DroidSafe_apicalldepth600.xml,10,30,-30
config_DroidSafe_apicalldepth80.xml,10,30,-30
config_DroidSafe_apicalldepth90.xml,10,30,-30
config_DroidSafe_filetransform.xml,10,30,-30
config_DroidSafe_ignoreexceptionflow.xml,10,30,-30
config_DroidSafe_imprecisestring.xml,10,30,-30
,,,0
,,,0
config_DroidSafe_kobjsens3.xml,10,30,-30
,,,0
,,,0
config_DroidSafe_noarrayindex.xml,10,30,-30
config_DroidSafe_noclinitcontext.xml,10,30,-30
config_DroidSafe_noclonestatic.xml,10,30,-30
config_DroidSafe_noscalaropt.xml,10,30,-30
config_DroidSafe_nojsa.xml,10,36,-36
config_DroidSafe_ptaspark.xml,10,36,-36
config_DroidSafe_multipassfb.xml,11,31,-31
config_DroidSafe_implicitflow.xml,11,35,-35
config_DroidSafe_transfertaintfield.xml,11,37,-37
config_DroidSafe_limitcontextforstring.xml,11,42,-42
config_DroidSafe_limitcontextforgui.xml,13,66,-66
config_DroidSafe_typesforcontext.xml,13,68,-68
config_DroidSafe_limitcontextforcomplex.xml,13,69,-69
config_DroidSafe_kobjsens1.xml,13,84,-84
config_DroidSafe_kobjsens2.xml,13,84,-84