config,complete,incomplete
config_FlowDroid_18.xml,5,-45
config_FlowDroid_37.xml,7,-43
config_FlowDroid_66.xml,8,-42
config_FlowDroid_21.xml,14,-36
config_FlowDroid_27.xml,14,-36
config_FlowDroid_87.xml,14,-36
config_FlowDroid_69.xml,15,-35
config_FlowDroid_5.xml,16,-34
config_FlowDroid_59.xml,16,-34
config_FlowDroid_109.xml,17,-33
config_FlowDroid_16.xml,17,-33
config_FlowDroid_86.xml,17,-33
config_FlowDroid_19.xml,18,-32
config_FlowDroid_23.xml,19,-31
config_FlowDroid_93.xml,20,-30
config_FlowDroid_58.xml,21,-29
config_FlowDroid_83.xml,21,-29
config_FlowDroid_53.xml,22,-28
config_FlowDroid_9.xml,22,-28
config_FlowDroid_15.xml,23,-27
config_FlowDroid_39.xml,23,-27
config_FlowDroid_77.xml,23,-27
config_FlowDroid_34.xml,25,-25
config_FlowDroid_70.xml,25,-25
config_FlowDroid_106.xml,26,-24
config_FlowDroid_95.xml,26,-24
config_FlowDroid_105.xml,27,-23
config_FlowDroid_99.xml,27,-23
config_FlowDroid_40.xml,28,-22
config_FlowDroid_47.xml,29,-21
config_FlowDroid_7.xml,29,-21
config_FlowDroid_10.xml,31,-19
config_FlowDroid_14.xml,31,-19
config_FlowDroid_89.xml,31,-19
config_FlowDroid_4.xml,32,-18
config_FlowDroid_90.xml,32,-18
config_FlowDroid_30.xml,33,-17
config_FlowDroid_60.xml,33,-17
config_FlowDroid_3.xml,34,-16
config_FlowDroid_79.xml,34,-16
config_FlowDroid_82.xml,34,-16
config_FlowDroid_100.xml,35,-15
config_FlowDroid_24.xml,35,-15
config_FlowDroid_1.xml,36,-14
config_FlowDroid_12.xml,36,-14
config_FlowDroid_97.xml,36,-14
config_FlowDroid_103.xml,38,-12
config_FlowDroid_25.xml,38,-12
config_FlowDroid_50.xml,38,-12
config_FlowDroid_80.xml,39,-11
config_FlowDroid_17.xml,41,-9
config_FlowDroid_74.xml,41,-9
config_FlowDroid_22.xml,42,-8
config_FlowDroid_63.xml,42,-8
config_FlowDroid_65.xml,42,-8
config_FlowDroid_104.xml,43,-7
config_FlowDroid_112.xml,43,-7
config_FlowDroid_56.xml,43,-7
config_FlowDroid_76.xml,43,-7
config_FlowDroid_84.xml,43,-7
config_FlowDroid_98.xml,43,-7
config_FlowDroid_55.xml,44,-6
config_FlowDroid_31.xml,45,-5
config_FlowDroid_44.xml,45,-5
config_FlowDroid_48.xml,45,-5
config_FlowDroid_94.xml,45,-5
config_FlowDroid_20.xml,46,-4
config_FlowDroid_0.xml,47,-3
config_FlowDroid_107.xml,47,-3
config_FlowDroid_26.xml,47,-3
config_FlowDroid_43.xml,47,-3
config_FlowDroid_38.xml,48,-2
config_FlowDroid_41.xml,48,-2
config_FlowDroid_6.xml,48,-2
config_FlowDroid_92.xml,48,-2
config_FlowDroid_110.xml,49,-1
config_FlowDroid_111.xml,49,-1
config_FlowDroid_2.xml,49,-1
config_FlowDroid_28.xml,49,-1
config_FlowDroid_33.xml,49,-1
config_FlowDroid_35.xml,49,-1
config_FlowDroid_42.xml,49,-1
config_FlowDroid_45.xml,49,-1
config_FlowDroid_49.xml,49,-1
config_FlowDroid_57.xml,49,-1
config_FlowDroid_68.xml,49,-1
config_FlowDroid_72.xml,49,-1
,,
,,
,,
config_FlowDroid_aplength5.xml,49,-1
,,
,,
,,
config_FlowDroid_101.xml,50,0
config_FlowDroid_102.xml,50,0
config_FlowDroid_108.xml,50,0
config_FlowDroid_11.xml,50,0
config_FlowDroid_113.xml,50,0
config_FlowDroid_13.xml,50,0
config_FlowDroid_29.xml,50,0
config_FlowDroid_32.xml,50,0
config_FlowDroid_36.xml,50,0
config_FlowDroid_46.xml,50,0
config_FlowDroid_51.xml,50,0
config_FlowDroid_52.xml,50,0
config_FlowDroid_54.xml,50,0
config_FlowDroid_61.xml,50,0
config_FlowDroid_62.xml,50,0
config_FlowDroid_64.xml,50,0
config_FlowDroid_67.xml,50,0
config_FlowDroid_71.xml,50,0
config_FlowDroid_73.xml,50,0
config_FlowDroid_75.xml,50,0
config_FlowDroid_78.xml,50,0
config_FlowDroid_8.xml,50,0
config_FlowDroid_81.xml,50,0
config_FlowDroid_85.xml,50,0
config_FlowDroid_88.xml,50,0
config_FlowDroid_91.xml,50,0
config_FlowDroid_96.xml,50,0